User,Comment,Likes,Published At,Time Ago
@costfuls,America's Collapse S2 E1,0,2024-11-24T04:32:38Z,2024-11-24T04:32:38Z
@JacksonMmmm,"Even as someone who would support Trump in this election, this take on the January 6 attacks is mind-boggling. This is not incredible. This is embarrassing.",1,2024-10-26T21:30:38Z,2024-10-26T21:30:38Z
@murkrow2316,The majority of the FOX news network is 💯💩,1,2024-08-23T23:40:37Z,2024-08-23T23:40:37Z
@ZachWilkie-oo3wt,"This is why I won't vote for trump for president in 2024 ,trump told them and fox news is defending him",2,2024-08-16T16:13:48Z,2024-08-16T16:13:48Z
@allen7218,"Trump called his followers to the January 6 U.S. Capitol attack, and he doesn't have the balls to take credit for it!
He is letting everyone else take responsibly for it. 
Sure, he says he will pardon them, but he's not owning up to it.
Would you follow someone to battle if the runaway?",2,2024-05-28T16:43:20Z,2024-05-28T16:43:20Z
@seftongalan9164,The fact that THIS video from the Fox channel has so little views is disappointing,3,2024-04-16T04:09:52Z,2024-04-16T04:09:52Z
@aphoristaemporium123,The missing point is that Trump's plan was to use the insurrection provisions of the Constitution against MAGA Republicans to retain the presidency.,0,2024-03-29T14:30:49Z,2024-03-29T14:30:49Z
@PortmanRd,"""This is a huge victory for these protesters."" Seriously?",1,2024-03-21T16:23:08Z,2024-03-21T16:23:08Z
@dreamwell2020,"The idea behind the second  amendment is that well-ordered militias with the right to bear arms would be there if some deranged authoritarian tried to subvert the constitution and steal power.  On January sixth, though, disordered gun nuts showed up to support the deranged authoritatian.",2,2024-01-07T01:23:19Z,2024-01-07T01:23:19Z
@georgewilson4245,According to MAGA Speaker Johnson it was like stroll in the park. Why is it different from what we saw?,2,2024-01-06T15:28:32Z,2024-01-06T15:28:32Z
@Monterrico14,"Look what you got, Fox News!!!
An Insurrection!
Despicable. Violence.
2:40 trump tweet, stay peaceful. 
Losers, snowflakes ❄️",0,2023-11-19T20:20:58Z,2023-11-19T20:20:58Z
@nancymcmonarch,"Twenty years before this, a group of foreign-born scumbags tried and failed to fly a plane into our Capitol building.  How were they any different from these homegrown scumbags?  Well, one difference is, we get to see the homegrown scumbags rounded up, tried, and sentenced to years in prison. 🥳🇺🇸  Fine with me if they were all sent to live out their miserable lives in Guantanamo.",2,2023-07-29T04:12:55Z,2023-07-29T04:12:55Z
@rrbb7665,"To anyone who believes the election was rigged...

 why do you believe that? what evidence do you have? im not trying to fight you, im genuinely curious to hear what the other side has to say.",0,2023-06-16T18:48:03Z,2023-06-16T18:48:03Z
@paulmassey5371,How many people died during this “protest”?!,1,2023-06-14T18:11:14Z,2023-06-14T18:11:14Z
@ThuyPham-il5cq,Yea they been plotting on me trump steoheb and xuan nguyen they all plotting on ne now is sad my parent i cant call rhem,0,2023-06-05T02:24:22Z,2023-06-05T02:24:22Z
@RedAgainstMachine,Fox News reported the same corrupt coverage.,0,2023-03-22T04:01:34Z,2023-03-22T04:01:34Z
@reaganchark,A victory !?? Really 😮,1,2023-03-17T18:55:46Z,2023-03-17T18:55:46Z
@Orehockey,"Every viewer, subscriber, and supporter of ""Fox fiction"" needs, and should be required, to watch this. Then called out for (Choose One) their Stupidity or their willful Hypocrisy. There are no other options. STUPID or HYPOCRITE!",3,2023-03-13T18:17:51Z,2023-03-13T18:17:51Z
@Toddhasahottake,Tucker must have forgot about this coverage on Fox news,9,2023-03-08T04:50:49Z,2023-03-08T04:50:49Z
@Raider19D,According to Fox news. These are all Democrats dressed in Sheeps clothing.,1,2023-02-19T23:24:36Z,2023-02-19T23:24:36Z
@Demonlightning1,"Honestly 😑🙄 ever since this happened Dems act like flies on dung because of it. It wasn't a big thing it was a protest that's all. The people who attacked other people were from other groups. I'd hate to see how our country responds to a real threat of invasion. They definitely couldn't mentally handle a ""live"" situation.",0,2023-02-15T20:22:10Z,2023-02-15T20:22:10Z
@johannesnicolaas,Fox News: this is what you get after all those lies you have spread.,3,2023-01-27T12:13:47Z,2023-01-27T12:13:47Z
