User,Comment,Likes,Published At,Time Ago
@PrisonPlanetLive,Go to https://tryfum.com/PJW or scan the QR code and use code PJW to get your free FÜM Topper when you order your Journey Pack today.,186,2024-12-09T17:35:18Z,2024-12-09T17:35:18Z
@aloweyballa,All those munitions and stockpiles were destroyed by Israel,0,2024-12-20T03:50:03Z,2024-12-20T03:50:03Z
@dot2562,Real men would of stayed and fought....,0,2024-12-20T03:22:17Z,2024-12-20T03:22:17Z
@jacquesthebeux7212,"It disgusts me seeing grown men who literally FLED their homeland celebrating a victory they played no part in. Its like seeing the members who didnt contribute to the group project celebrating the ""A"" the people who wctually did the work earned! MADNESS! No respect for people who tucked tail and RAN like cowards",0,2024-12-20T01:28:06Z,2024-12-20T01:28:32Z
@thephilarmy5,"So Taliban have tons on American military tech, Al-Qaeda now have Syrian / Russian military tech...... is HAMAS going to gain Israelis military tech next....? 👀",0,2024-12-19T19:54:33Z,2024-12-19T19:54:33Z
@JamieJacksonati,"Assad was a butcher but we hated him because he had Russian backing. Now jihadists are in who hate the West and Russia, apparently that’s ok.",0,2024-12-19T12:18:43Z,2024-12-19T12:18:43Z
@blakejohnson2206,This guy sounds like the narrator on Thomas the Tank Engine.,0,2024-12-19T07:14:32Z,2024-12-19T07:14:32Z
@cherrymoore5166,"I got my bible from Jehovah's Witnesses. I have been studying with them for a while now, and I can honestly say that it helped me have hope for the future 🙏 Jehovah God has promised a paradise on earth 🌎 living in peace forever. Jehovah has promised that he will put an end to this wicked system. 
In the bible, says We are living in the last days. Jehovah wants you to get to know him. Reach out to a witness. What do you have to lose? You won't lose anything, but you will definitely gain everlasting life forever in paradise on earth. 😊 
Revelation 21: 4 And he will wipe out every tear from their eyes, and death will be no more, neither will mourning nor outcry nor pain be anymore. The former things have passed away.”",0,2024-12-19T05:22:31Z,2024-12-19T05:30:13Z
@ironmagnus,I heard that Ahmed is an undercover Jew,0,2024-12-18T22:01:55Z,2024-12-18T22:01:55Z
@Wasps76,The USA have wanted this for years,0,2024-12-18T20:31:49Z,2024-12-18T20:31:49Z
@9parasqn656,Why are all the F'ers in Europe ?,0,2024-12-18T18:33:43Z,2024-12-18T18:33:43Z
@roycotter5467,God help all the Christians 🙏🇨🇮👊,0,2024-12-17T22:53:17Z,2024-12-17T22:53:17Z
@بوسلوبعبدالرحيم,Afghanistan then syria the more you fight us the more you lose😂,0,2024-12-17T21:07:52Z,2024-12-17T21:07:52Z
@bryanphoenix9702,Why are so many Western governments suddenly cozying up to this guy? That's my question.,0,2024-12-17T19:17:39Z,2024-12-17T19:17:39Z
@captainamerica3531,"“Sharia light n moderate jihadi,” they’re the antithesis to any kind of civilized humanity! Mya God and good people protect the Christians in that ancient area.",0,2024-12-17T13:41:07Z,2024-12-17T13:41:07Z
@r1kh4v47,can i get your sources please,0,2024-12-17T13:37:40Z,2024-12-17T13:37:40Z
